id,occ_title,a_mean,is_selected,last_updated
482,"Health Technologists and Technicians","50,300",0,NULL
483,"Pest Control Workers","40,640",0,NULL
484,Phlebotomists,"38,450",0,NULL
485,"Parking Enforcement Workers","46,050",0,NULL
486,"Healthcare Support Workers, All Other","40,690",0,NULL
487,"Grounds Maintenance Workers","35,960",0,NULL
488,"Protective Service Occupations","53,420",0,NULL
489,"Licensed Practical and Licensed Vocational Nurses","51,850",0,NULL
490,"Police Officers","70,740",0,NULL
491,"Supervisors of Protective Service Workers","81,010",0,NULL
492,"Police and Sheriff's Patrol Officers","70,750",0,NULL
493,"Supervisors of Personal Care and Service Workers","46,950",0,NULL
494,"Transit and Railroad Police","69,570",0,NULL
495,"First-Line Supervisors of Law Enforcement Workers","90,110",0,NULL
496,"Grounds Maintenance Workers","35,960",0,NULL
497,"Medical Records Specialists","48,310",0,NULL
498,"First-Line Supervisors of Entertainment and Recreation Workers","48,370",0,NULL
499,"Landscaping and Groundskeeping Workers","35,240",0,NULL
500,"Medical Records Specialists","48,310",0,NULL
501,Radiologists,"301,720",0,NULL
502,"First-Line Supervisors of Gambling Services Workers","52,590",0,NULL
503,"Opticians, Dispensing","43,060",0,NULL
504,"Audio and Video Technicians","55,310",0,NULL
505,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","47,130",0,NULL
506,"Physicians, All Other","231,500",0,NULL
507,"Broadcast Technicians","51,280",0,NULL
508,"Opticians, Dispensing","43,060",0,NULL
509,"First-Line Supervisors of Personal Service Workers","45,730",0,NULL
510,"Miscellaneous Health Technologists and Technicians","51,910",0,NULL
511,"First-Line Supervisors of Personal Service Workers","45,730",0,NULL
512,Bartenders,"30,340",0,NULL
513,"Orthotists and Prosthetists","79,820",0,NULL
514,Surgeons,"294,520",0,NULL
515,"First-Line Supervisors of Correctional Officers","69,750",0,NULL
516,"Other Protective Service Workers","36,280",0,NULL
517,"Sound Engineering Technicians","67,360",0,NULL
518,"Entertainment Attendants and Related Workers","27,170",0,NULL
519,"Miscellaneous Health Practitioners and Technical Workers","61,490",0,NULL
520,"Gambling Services Workers","29,340",0,NULL
